code,date,value
ECOS.POLICY.RATE_BASE,2020-01-01,77.648923
ECOS.POLICY.RATE_BASE,2020-02-01,79.74724
ECOS.POLICY.RATE_BASE,2020-03-01,80.685303
ECOS.POLICY.RATE_BASE,2020-04-01,80.585204
ECOS.POLICY.RATE_BASE,2020-05-01,78.407164
ECOS.POLICY.RATE_BASE,2020-06-01,79.06657
ECOS.POLICY.RATE_BASE,2020-07-01,78.238879
ECOS.POLICY.RATE_BASE,2020-08-01,79.156765
ECOS.POLICY.RATE_BASE,2020-09-01,80.951408
ECOS.POLICY.RATE_BASE,2020-10-01,81.221269
ECOS.POLICY.RATE_BASE,2020-11-01,77.376195
ECOS.POLICY.RATE_BASE,2020-12-01,79.146373
ECOS.POLICY.RATE_BASE,2021-01-01,82.323811
ECOS.POLICY.RATE_BASE,2021-02-01,79.333651
ECOS.POLICY.RATE_BASE,2021-03-01,81.523438
ECOS.POLICY.RATE_BASE,2021-04-01,79.662573
ECOS.POLICY.RATE_BASE,2021-05-01,76.670922
ECOS.POLICY.RATE_BASE,2021-06-01,79.810616
ECOS.POLICY.RATE_BASE,2021-07-01,79.330471
ECOS.POLICY.RATE_BASE,2021-08-01,79.751816
ECOS.POLICY.RATE_BASE,2021-09-01,79.720795
ECOS.POLICY.RATE_BASE,2021-10-01,80.600612
ECOS.POLICY.RATE_BASE,2021-11-01,79.744484
ECOS.POLICY.RATE_BASE,2021-12-01,79.397808
ECOS.POLICY.RATE_BASE,2022-01-01,78.525042
ECOS.POLICY.RATE_BASE,2022-02-01,78.950962
ECOS.POLICY.RATE_BASE,2022-03-01,80.396317
ECOS.POLICY.RATE_BASE,2022-04-01,79.643534
ECOS.POLICY.RATE_BASE,2022-05-01,76.570088
ECOS.POLICY.RATE_BASE,2022-06-01,79.865295
ECOS.POLICY.RATE_BASE,2022-07-01,77.657529
ECOS.POLICY.RATE_BASE,2022-08-01,80.154461
ECOS.POLICY.RATE_BASE,2022-09-01,82.21437
ECOS.POLICY.RATE_BASE,2022-10-01,79.895993
ECOS.POLICY.RATE_BASE,2022-11-01,79.064566
ECOS.POLICY.RATE_BASE,2022-12-01,80.901388
ECOS.POLICY.RATE_BASE,2023-01-01,80.776642
ECOS.POLICY.RATE_BASE,2023-02-01,79.7995
ECOS.POLICY.RATE_BASE,2023-03-01,78.775486
ECOS.POLICY.RATE_BASE,2023-04-01,80.257496
ECOS.POLICY.RATE_BASE,2023-05-01,80.078178
ECOS.POLICY.RATE_BASE,2023-06-01,78.080332
ECOS.POLICY.RATE_BASE,2023-07-01,82.625594
ECOS.POLICY.RATE_BASE,2023-08-01,80.13464
ECOS.POLICY.RATE_BASE,2023-09-01,77.035581
ECOS.POLICY.RATE_BASE,2023-10-01,80.026646
ECOS.POLICY.RATE_BASE,2023-11-01,78.744424
ECOS.POLICY.RATE_BASE,2023-12-01,79.486398
ECOS.POLICY.RATE_BASE,2024-01-01,79.41534
ECOS.POLICY.RATE_BASE,2024-02-01,79.363982
ECOS.POLICY.RATE_BASE,2024-03-01,81.025535
